Year,State,State_Code,Deaths,Pop,Crude_Rate
2002,Kentucky,21,544,4089875,13.3
2002,Louisiana,22,876,4497267,19.5
2002,Maine,23,88,1295960,6.8
2002,Maryland,24,615,5440389,11.3
2002,Massachusetts,25,204,6417206,3.2
2002,Michigan,26,1092,10015710,10.9
2002,Minnesota,27,306,5018935,6.1
2002,Mississippi,28,492,2858681,17.2
2002,Missouri,29,696,5674825,12.3
2002,Montana,30,134,911667,14.7
2002,Nebraska,31,140,1728292,8.1
2002,Nevada,32,370,2173791,17
2002,New Hampshire,33,76,1269089,6
2002,New Jersey,34,415,8552643,4.9
2002,New Mexico,35,304,1855309,16.4
2002,New York,36,994,19137800,5.2
2002,North Carolina,37,1136,8326201,13.6
2002,North Dakota,38,58,638168,9.1
2002,Ohio,39,1069,11407889,9.4
2002,Oklahoma,40,452,3489080,13
2002,Oregon,41,374,3513424,10.6
2002,Pennsylvania,42,1220,12331031,9.9
2002,Rhode Island,44,55,1065995,5.2
2002,South Carolina,45,566,4107795,13.8
2002,South Dakota,46,61,760020,8
2002,Tennessee,47,905,5795918,15.6
2002,Texas,48,2301,21690325,10.6
2002,Utah,49,207,2324815,8.9
2002,Vermont,50,62,615442,10.1
2002,Virginia,51,806,7286873,11.1
2002,Washington,53,568,6052349,9.4
2002,West Virginia,54,271,1805414,15
2002,Wisconsin,55,446,5445162,8.2
2002,Wyoming,56,95,500017,19
2003,Alabama,01,765,4503491,17
2003,Alaska,02,120,648414,18.5
2003,Arizona,04,849,5510364,15.4
2003,Arkansas,05,413,2724816,15.2
2003,California,06,3468,35253159,9.8
2003,Colorado,08,501,4528732,11.1
2003,Connecticut,09,153,3484336,4.4
2003,Delaware,10,65,818003,7.9
2003,District of Columbia,11,167,568502,29.4
2003,Florida,12,1940,17004085,11.4
2003,Georgia,13,1173,8622793,13.6
2003,Hawaii,15,37,1251154,3
2003,Idaho,16,164,1363380,12
2003,Illinois,17,1146,12556006,9.1
2003,Indiana,18,696,6196638,11.2
2003,Iowa,19,208,2941999,7.1
2003,Kansas,20,304,2723004,11.2
2003,Kentucky,21,560,4117170,13.6
2003,Louisiana,22,847,4521042,18.7
2003,Maine,23,82,1306513,6.3
2003,Maryland,24,648,5496269,11.8
2003,Massachusetts,25,204,6422565,3.2
2003,Michigan,26,1030,10041152,10.3
2003,Minnesota,27,332,5053572,6.6
2003,Mississippi,28,477,2868312,16.6
2003,Missouri,29,657,5709403,11.5
2003,Montana,30,145,919630,15.8
2003,Nebraska,31,134,1738643,7.7
2003,Nevada,32,374,2248850,16.6
2003,New Hampshire,33,89,1279840,7
2003,New Jersey,34,458,8601402,5.3
2003,New Mexico,35,326,1877574,17.4
2003,New York,36,1034,19175939,5.4
2003,North Carolina,37,1055,8422501,12.5
2003,North Dakota,38,58,638817,9.1
2003,Ohio,39,934,11434788,8.2
2003,Oklahoma,40,449,3504892,12.8
2003,Oregon,41,395,3547376,11.1
2003,Pennsylvania,42,1230,12374658,9.9
2003,Rhode Island,44,35,1071342,3.3
2003,South Carolina,45,593,4150297,14.3
2003,South Dakota,46,76,763729,10
2003,Tennessee,47,837,5847812,14.3
2003,Texas,48,2432,22030931,11
2003,Utah,49,230,2360137,9.7
2003,Vermont,50,48,617858,7.8
2003,Virginia,51,811,7366977,11
2003,Washington,53,565,6104115,9.3
2003,West Virginia,54,265,1812295,14.6
2003,Wisconsin,55,468,5479203,8.5
2003,Wyoming,56,89,503453,17.7
2004,Alabama,01,679,4530729,15
2004,Alaska,02,117,659286,17.7
2004,Arizona,04,897,5652404,15.9
2004,Arkansas,05,406,2749686,14.8
2004,California,06,3316,35574576,9.3
2004,Colorado,08,553,4575013,12.1
2004,Connecticut,09,173,3496094,4.9
2004,Delaware,10,75,830803,9
2004,District of Columbia,11,143,567754,25.2
2004,Florida,12,1890,17415318,10.9
2004,Georgia,13,1062,8769252,12.1
2004,Hawaii,15,41,1273569,3.2
2004,Idaho,16,177,1391802,12.7
2004,Illinois,17,994,12589773,7.9
2004,Indiana,18,639,6233007,10.3
2004,Iowa,19,195,2953635,6.6
2004,Kansas,20,294,2734373,10.8
2004,Kentucky,21,551,4146101,13.3
2004,Louisiana,22,902,4552238,19.8
2004,Maine,23,108,1313688,8.2
2004,Maryland,24,656,5546935,11.8
2004,Massachusetts,25,206,6412281,3.2
2004,Michigan,26,1048,10055315,10.4
2004,Minnesota,27,363,5087713,7.1
2004,Mississippi,28,471,2889010,16.3
2004,Missouri,29,664,5747741,11.6
2004,Montana,30,125,930009,13.4
2004,Nebraska,31,119,1749370,6.8
2004,Nevada,32,392,2346222,16.7
2004,New Hampshire,33,69,1290121,5.3
2004,New Jersey,34,454,8634561,5.3
2004,New Mexico,35,289,1903808,15.2
2004,New York,36,951,19171567,5
2004,North Carolina,37,1055,8553152,12.3
2004,North Dakota,38,50,644705,7.8
2004,Ohio,39,1036,11452251,9
2004,Oklahoma,40,457,3525233,13
2004,Oregon,41,385,3569463,10.8
2004,Pennsylvania,42,1270,12410722,10.2
2004,Rhode Island,44,41,1074579,3.8
2004,South Carolina,45,574,4210921,13.6
2004,South Dakota,46,77,770396,10
2004,Tennessee,47,869,5910809,14.7
2004,Texas,48,2342,22394023,10.5
2004,Utah,49,225,2401580,9.4
2004,Vermont,50,61,619920,9.8
2004,Virginia,51,817,7475575,10.9
2004,Washington,53,569,6178645,9.2
2004,West Virginia,54,253,1816438,13.9
2004,Wisconsin,55,413,5514026,7.5
2004,Wyoming,56,56,509106,11
2005,Alabama,01,736,4569805,16.1
2005,Alaska,02,116,666946,17.4
2005,Arizona,04,934,5839077,16
2005,Arkansas,05,439,2781097,15.8
2005,California,06,3453,35827943,9.6
2005,Colorado,08,535,4631888,11.6
2005,Connecticut,09,187,3506956,5.3
2005,Delaware,10,75,845150,8.9
2005,District of Columbia,11,154,567136,27.2
2005,Florida,12,1838,17842038,10.3
2005,Georgia,13,1064,8925922,11.9
2005,Hawaii,15,28,1292729,2.2
2005,Idaho,16,195,1428241,13.7
2005,Illinois,17,1019,12609903,8.1
2005,Indiana,18,705,6278616,11.2
2005,Iowa,19,201,2964454,6.8
2005,Kansas,20,257,2745299,9.4
2005,Kentucky,21,548,4182742,13.1
2005,Louisiana,22,858,4576628,18.7
2005,Maine,23,109,1318787,8.3
2005,Maryland,24,657,5592379,11.7
2005,Massachusetts,25,224,6403290,3.5
2005,Michigan,26,1074,10051137,10.7
2005,Minnesota,27,361,5119598,7.1
2005,Mississippi,28,455,2905943,15.7
2005,Missouri,29,752,5790300,13
2005,Montana,30,161,940102,17.1
2005,Nebraska,31,135,1761497,7.7
2005,Nevada,32,390,2432143,16
2005,New Hampshire,33,88,1298492,6.8
2005,New Jersey,34,434,8651974,5
2005,New Mexico,35,267,1932274,13.8
2005,New York,36,1019,19132610,5.3
2005,North Carolina,37,1119,8705407,12.9
2005,North Dakota,38,61,646089,9.4
2005,Ohio,39,1116,11463320,9.7
2005,Oklahoma,40,468,3548597,13.2
2005,Oregon,41,402,3613202,11.1
2005,Pennsylvania,42,1352,12449990,10.9
2005,Rhode Island,44,39,1067916,3.7
2005,South Carolina,45,589,4270150,13.8
2005,South Dakota,46,82,775493,10.6
2005,Tennessee,47,976,5991057,16.3
2005,Texas,48,2490,22778123,10.9
2005,Utah,49,227,2457719,9.2
2005,Vermont,50,44,621215,7.1
2005,Virginia,51,888,7577105,11.7
2005,Washington,53,567,6257305,9.1
2005,West Virginia,54,261,1820492,14.3
2005,Wisconsin,55,474,5546166,8.5
2005,Wyoming,56,71,514157,13.8
2006,Alabama,01,780,4628981,16.9
2006,Alaska,02,111,675302,16.4
2006,Arizona,04,982,6029141,16.3
2006,Arkansas,05,426,2821761,15.1
2006,California,06,3363,36021202,9.3
2006,Colorado,08,497,4720423,10.5
2006,Connecticut,09,173,3517460,4.9
2006,Delaware,10,79,859268,9.2
2006,District of Columbia,11,134,570681,23.5
2006,Florida,12,2083,18166990,11.5
2006,Georgia,13,1144,9155813,12.5
2006,Hawaii,15,33,1309731,2.5
2006,Idaho,16,180,1468669,12.3
2006,Illinois,17,1036,12643955,8.2
2006,Indiana,18,742,6332669,11.7
2006,Iowa,19,193,2982644,6.5
2006,Kansas,20,299,2762931,10.8
2006,Kentucky,21,531,4219239,12.6
2006,Louisiana,22,831,4302665,19.3
2006,Maine,23,105,1323619,7.9
2006,Maryland,24,678,5627367,12
2006,Massachusetts,25,211,6410084,3.3
2006,Michigan,26,1157,10036081,11.5
2006,Minnesota,27,329,5163555,6.4
2006,Mississippi,28,475,2904978,16.4
2006,Missouri,29,767,5842704,13.1
2006,Montana,30,120,952692,12.6
2006,Nebraska,31,141,1772693,8
2006,Nevada,32,405,2522658,16.1
2006,New Hampshire,33,82,1308389,6.3
2006,New Jersey,34,492,8661679,5.7
2006,New Mexico,35,283,1962137,14.4
2006,New York,36,1002,19104631,5.2
2006,North Carolina,37,1133,8917270,12.7
2006,North Dakota,38,46,649422,7.1
2006,Ohio,39,1114,11481213,9.7
2006,Oklahoma,40,482,3594090,13.4
2006,Oregon,41,384,3670883,10.5
2006,Pennsylvania,42,1371,12510809,11
2006,Rhode Island,44,47,1063096,4.4
2006,South Carolina,45,616,4357847,14.1
2006,South Dakota,46,77,783033,9.8
2006,Tennessee,47,943,6088766,15.5
2006,Texas,48,2422,23359580,10.4
2006,Utah,49,224,2525507,8.9
2006,Vermont,50,54,622892,8.7
2006,Virginia,51,816,7673725,10.6
2006,Washington,53,546,6370753,8.6
2006,West Virginia,54,253,1827912,13.8
2006,Wisconsin,55,424,5577655,7.6
2006,Wyoming,56,80,522667,15.3
2007,Alabama,01,812,4672840,17.4
2007,Alaska,02,120,680300,17.6
2007,Arizona,04,951,6167681,15.4
2007,Arkansas,05,426,2848650,15
2007,California,06,3268,36250311,9
2007,Colorado,08,505,4803868,10.5
2007,Connecticut,09,149,3527270,4.2
2007,Delaware,10,79,871749,9.1
2007,District of Columbia,11,144,574404,25.1
2007,Florida,12,2272,18367842,12.4
2007,Georgia,13,1244,9349988,13.3
2007,Hawaii,15,36,1315675,2.7
2007,Idaho,16,187,1505105,12.4
2007,Illinois,17,1032,12695866,8.1
2007,Indiana,18,670,6379599,10.5
2007,Iowa,19,157,2999212,5.2
2007,Kansas,20,292,2783785,10.5
2007,Kentucky,21,612,4256672,14.4
2007,Louisiana,22,869,4375581,19.9
2007,Maine,23,107,1327040,8.1
2007,Maryland,24,678,5653408,12
2007,Massachusetts,25,235,6431559,3.7
2007,Michigan,26,1095,10001284,10.9
2007,Minnesota,27,344,5207203,6.6
2007,Mississippi,28,535,2928350,18.3
2007,Missouri,29,759,5887612,12.9
2007,Montana,30,139,964706,14.4
2007,Nebraska,31,142,1783440,8
2007,Nevada,32,414,2601072,15.9
2007,New Hampshire,33,78,1312540,5.9
2007,New Jersey,34,446,8677885,5.1
2007,New Mexico,35,295,1990070,14.8
2007,New York,36,985,19132335,5.1
2007,North Carolina,37,1116,9118037,12.2
2007,North Dakota,38,57,652822,8.7
2007,Ohio,39,1105,11500468,9.6
2007,Oklahoma,40,482,3634349,13.3
2007,Oregon,41,387,3722417,10.4
2007,Pennsylvania,42,1325,12563937,10.5
2007,Rhode Island,44,37,1057315,3.5
2007,South Carolina,45,592,4444110,13.3
2007,South Dakota,46,52,791623,6.6
2007,Tennessee,47,924,6175727,15
2007,Texas,48,2561,23831983,10.7
2007,Utah,49,253,2597746,9.7
2007,Vermont,50,52,623481,8.3
2007,Virginia,51,825,7751e3,10.6
2007,Washington,53,548,6461587,8.5
2007,West Virginia,54,267,1834052,14.6
2007,Wisconsin,55,488,5610775,8.7
2007,Wyoming,56,76,534876,14.2
2008,Alabama,01,820,4718206,17.4
2008,Alaska,02,142,687455,20.7
2008,Arizona,04,907,6280362,14.4
2008,Arkansas,05,444,2874554,15.4
2008,California,06,3171,36604337,8.7
2008,Colorado,08,513,4889730,10.5
2008,Connecticut,09,200,3545579,5.6
2008,Delaware,10,95,883874,10.7
2008,District of Columbia,11,137,580236,23.6
2008,Florida,12,2334,18527305,12.6
2008,Georgia,13,1177,9504843,12.4
2008,Hawaii,15,41,1332213,3.1
2008,Idaho,16,175,1534320,11.4
2008,Illinois,17,1105,12747038,8.7
2008,Indiana,18,723,6424806,11.3
2008,Iowa,19,224,3016734,7.4
2008,Kansas,20,277,2808076,9.9
2008,Kentucky,21,576,4289878,13.4
2008,Louisiana,22,822,4435586,18.5
2008,Maine,23,122,1330509,9.2
2008,Maryland,24,665,5684965,11.7
2008,Massachusetts,25,224,6468967,3.5
2008,Michigan,26,1081,9946889,10.9
2008,Minnesota,27,371,5247018,7.1
2008,Mississippi,28,568,2947806,19.3
2008,Missouri,29,818,5923916,13.8
2008,Montana,30,155,976415,15.9
2008,Nebraska,31,150,1796378,8.4
2008,Nevada,32,404,2653630,15.2
2008,New Hampshire,33,93,1315906,7.1
2008,New Jersey,34,429,8711090,4.9
2008,New Mexico,35,294,2010662,14.6
2008,New York,36,963,19212436,5
2008,North Carolina,37,1160,9309449,12.5
2008,North Dakota,38,59,657569,9
2008,Ohio,39,1115,11515391,9.7
2008,Oklahoma,40,513,3668976,14
2008,Oregon,41,385,3768748,10.2
2008,Pennsylvania,42,1345,12612285,10.7
2008,Rhode Island,44,44,1055003,4.2
2008,South Carolina,45,615,4528996,13.6
2008,South Dakota,46,83,799124,10.4
2008,Tennessee,47,985,6247411,15.8
2008,Texas,48,2598,24309039,10.7
2008,Utah,49,238,2663029,8.9
2008,Vermont,50,54,624151,8.7
2008,Virginia,51,817,7833496,10.4
2008,Washington,53,587,6562231,8.9
2008,West Virginia,54,239,1840310,13
2008,Wisconsin,55,443,5640996,7.9
2008,Wyoming,56,93,546043,17
2009,Alabama,01,830,4757938,17.4
2009,Alaska,02,104,698895,14.9
2009,Arizona,04,856,6343154,13.5
2009,Arkansas,05,465,2896843,16.1
2009,California,06,3094,36961229,8.4
2009,Colorado,08,583,4972195,11.7
2009,Connecticut,09,173,3561807,4.9
2009,Delaware,10,76,891730,8.5
2009,District of Columbia,11,111,592228,18.7
2009,Florida,12,2324,18652644,12.5
2009,Georgia,13,1247,9620846,13
2009,Hawaii,15,47,1346717,3.5
2009,Idaho,16,196,1554439,12.6
2009,Illinois,17,1058,12796778,8.3
2009,Indiana,18,735,6459325,11.4
2009,Iowa,19,193,3032870,6.4
2009,Kansas,20,303,2832704,10.7
2009,Kentucky,21,560,4317074,13
2009,Louisiana,22,810,4491648,18
2009,Maine,23,122,1329590,9.2
2009,Maryland,24,586,5730388,10.2
2009,Massachusetts,25,207,6517613,3.2
2009,Michigan,26,1095,9901591,11.1
2009,Minnesota,27,336,5281203,6.4
2009,Mississippi,28,487,2958774,16.5
2009,Missouri,29,822,5961088,13.8
2009,Montana,30,166,983982,16.9
2009,Nebraska,31,132,1812683,7.3
2009,Nevada,32,406,2684665,15.1
2009,New Hampshire,33,89,1316102,6.8
2009,New Jersey,34,411,8755602,4.7
2009,New Mexico,35,299,2036802,14.7
2009,New York,36,958,19307066,5
2009,North Carolina,37,1112,9449566,11.8
2009,North Dakota,38,59,664968,8.9
2009,Ohio,39,991,11528896,8.6
2009,Oklahoma,40,533,3717572,14.3
2009,Oregon,41,417,3808600,10.9
2009,Pennsylvania,42,1349,12666858,10.6
2009,Rhode Island,44,56,1053646,5.3
2009,South Carolina,45,634,4589872,13.8
2009,South Dakota,46,75,807067,9.3
2009,Tennessee,47,966,6306019,15.3
2009,Texas,48,2691,24801761,10.9
2009,Utah,49,260,2723421,9.5
2009,Vermont,50,60,624817,9.6
2009,Virginia,51,836,7925937,10.5
2009,Washington,53,623,6667426,9.3
2009,West Virginia,54,251,1847775,13.6
2009,Wisconsin,55,457,5669264,8.1
2009,Wyoming,56,96,559851,17.1
2010,Alabama,01,782,4779736,16.4
2010,Alaska,02,144,710231,20.3
2010,Arizona,04,931,6392017,14.6
2010,Arkansas,05,419,2915918,14.4
2010,California,06,2935,37253956,7.9
2010,Colorado,08,555,5029196,11
2010,Connecticut,09,209,3574097,5.8
2010,Delaware,10,88,897934,9.8
2010,District of Columbia,11,99,601723,16.5
2010,Florida,12,2268,18801310,12.1
2010,Georgia,13,1223,9687653,12.6
2010,Hawaii,15,45,1360301,3.3
2010,Idaho,16,198,1567582,12.6
2010,Illinois,17,1064,12830632,8.3
2010,Indiana,18,709,6483802,10.9
2010,Iowa,19,213,3046355,7
2010,Kansas,20,300,2853118,10.5
2010,Kentucky,21,555,4339367,12.8
2010,Louisiana,22,864,4533372,19.1
2010,Maine,23,113,1328361,8.5
2010,Maryland,24,538,5773552,9.3
2010,Massachusetts,25,270,6547629,4.1
2010,Michigan,26,1076,9883640,10.9
2010,Minnesota,27,365,5303925,6.9
2010,Mississippi,28,475,2967297,16
2010,Missouri,29,846,5988927,14.1
2010,Montana,30,164,989415,16.6
2010,Nebraska,31,152,1826341,8.3
2010,Nevada,32,395,2700551,14.6
2010,New Hampshire,33,118,1316470,9
2010,New Jersey,34,456,8791894,5.2
2010,New Mexico,35,301,2059179,14.6
2010,New York,36,1011,19378102,5.2
2010,North Carolina,37,1123,9535483,11.8
2010,North Dakota,38,65,672591,9.7
2010,Ohio,39,1148,11536504,10
2010,Oklahoma,40,538,3751351,14.3
2010,Oregon,41,458,3831074,12
2010,Pennsylvania,42,1307,12702379,10.3
2010,Rhode Island,44,49,1052567,4.7
2010,South Carolina,45,648,4625364,14
2010,South Dakota,46,75,814180,9.2
2010,Tennessee,47,932,6346105,14.7
2010,Texas,48,2714,25145561,10.8
2010,Utah,49,314,2763885,11.4
2010,Vermont,50,70,625741,11.2
2010,Virginia,51,875,8001024,10.9
2010,Washington,53,609,6724540,9.1
2010,West Virginia,54,273,1852994,14.7
2010,Wisconsin,55,501,5686986,8.8
2010,Wyoming,56,92,563626,16.3
2011,Alabama,01,785,4802740,16.3
2011,Alaska,02,126,722718,17.4
2011,Arizona,04,964,6482505,14.9
2011,Arkansas,05,462,2937979,15.7
2011,California,06,3004,37691912,8
2011,Colorado,08,573,5116796,11.2
2011,Connecticut,09,210,3580709,5.9
2011,Delaware,10,77,907135,8.5
2011,District of Columbia,11,86,617996,13.9
2011,Florida,12,2378,19057542,12.5
2011,Georgia,13,1232,9815210,12.6
2011,Hawaii,15,49,1374810,3.6
2011,Idaho,16,192,1584985,12.1
2011,Illinois,17,1114,12869257,8.7
2011,Indiana,18,638,6516922,9.8
2011,Iowa,19,220,3062309,7.2
2011,Kansas,20,329,2871238,11.5
2011,Kentucky,21,617,4369356,14.1
2011,Louisiana,22,865,4574836,18.9
2011,Maine,23,136,1328188,10.2
2011,Maryland,24,542,5828289,9.3
2011,Massachusetts,25,254,6587536,3.9
2011,Michigan,26,1156,9876187,11.7
2011,Minnesota,27,396,5344861,7.4
2011,Mississippi,28,530,2978512,17.8
2011,Missouri,29,854,6010688,14.2
2011,Montana,30,167,998199,16.7
2011,Nebraska,31,161,1842641,8.7
2011,Nevada,32,376,2723322,13.8
2011,New Hampshire,33,92,1318194,7
2011,New Jersey,34,482,8821155,5.5
2011,New Mexico,35,306,2082224,14.7
2011,New York,36,997,19465197,5.1
2011,North Carolina,37,1154,9656401,12
2011,North Dakota,38,61,683932,8.9
2011,Ohio,39,1227,11544951,10.6
2011,Oklahoma,40,628,3791508,16.6
2011,Oregon,41,420,3871859,10.8
2011,Pennsylvania,42,1438,12742886,11.3
2011,Rhode Island,44,33,1051302,3.1
2011,South Carolina,45,705,4679230,15.1
2011,South Dakota,46,71,824082,8.6
2011,Tennessee,47,948,6403353,14.8
2011,Texas,48,2599,25674681,10.1
2011,Utah,49,308,2817222,10.9
2011,Vermont,50,78,626431,12.5
2011,Virginia,51,868,8096604,10.7
2011,Washington,53,624,6830038,9.1
2011,West Virginia,54,278,1855364,15
2011,Wisconsin,55,445,5711767,7.8
2011,Wyoming,56,96,568158,16.9
2012,Alabama,01,831,4822023,17.2
2012,Alaska,02,132,731449,18
2012,Arizona,04,946,6553255,14.4
2012,Arkansas,05,490,2949131,16.6
2012,California,06,3068,38041430,8.1
2012,Colorado,08,672,5187582,13
2012,Connecticut,09,227,3590347,6.3
2012,Delaware,10,96,917092,10.5
2012,District of Columbia,11,68,632323,10.8
2012,Florida,12,2473,19317568,12.8
2012,Georgia,13,1286,9919945,13
2012,Hawaii,15,51,1392313,3.7
2012,Idaho,16,207,1595728,13
2012,Illinois,17,1178,12875255,9.1
2012,Indiana,18,800,6537334,12.2
2012,Iowa,19,217,3074186,7.1
2012,Kansas,20,377,2885905,13.1
2012,Kentucky,21,655,4380415,15
2012,Louisiana,22,845,4601893,18.4
2012,Maine,23,130,1329192,9.8
2012,Maryland,24,589,5884563,10
2012,Massachusetts,25,233,6646144,3.5
2012,Michigan,26,1222,9883360,12.4
2012,Minnesota,27,382,5379139,7.1
2012,Mississippi,28,535,2984926,17.9
2012,Missouri,29,882,6021988,14.6
2012,Montana,30,171,1005141,17
